model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP1-Results/length/length_image_1.png,36.0,40,0.0,7971.7748165130615
gpt4o,run_0,EXP1-Results/length/length_image_2.png,6.0,16,0.0,6505.768060684204
gpt4o,run_0,EXP1-Results/length/length_image_3.png,7.0,7,0.0,5676.347494125366
gpt4o,run_0,EXP1-Results/length/length_image_4.png,37.0,25,0.0,6294.535875320435
gpt4o,run_0,EXP1-Results/length/length_image_5.png,48.0,30,0.0,5784.52205657959
gpt4o,run_0,EXP1-Results/length/length_image_6.png,36.0,24,0.0,5568.788766860962
gpt4o,run_0,EXP1-Results/length/length_image_7.png,10.0,20,0.0,5673.478364944458
gpt4o,run_0,EXP1-Results/length/length_image_8.png,22.0,17,0.0,5921.2634563446045
gpt4o,run_0,EXP1-Results/length/length_image_9.png,32.0,20,0.0,5991.339445114136
gpt4o,run_0,EXP1-Results/length/length_image_10.png,34.0,24,0.0,5666.373491287231
gpt4o,run_0,EXP1-Results/length/length_image_11.png,53.0,23,0.0,6091.991901397705
gpt4o,run_0,EXP1-Results/length/length_image_12.png,50.0,30,0.0,5722.999095916748
gpt4o,run_0,EXP1-Results/length/length_image_13.png,16.0,20,0.0,5995.094537734985
gpt4o,run_0,EXP1-Results/length/length_image_14.png,31.0,30,0.0,5982.25474357605
gpt4o,run_0,EXP1-Results/length/length_image_15.png,26.0,20,0.0,6162.215709686279
gpt4o,run_0,EXP1-Results/length/length_image_16.png,47.0,30,0.0,5670.939683914185
gpt4o,run_0,EXP1-Results/length/length_image_17.png,20.0,20,0.0,6309.99755859375
gpt4o,run_0,EXP1-Results/length/length_image_18.png,50.0,35,0.0,5763.929843902588
gpt4o,run_0,EXP1-Results/length/length_image_19.png,3.0,10,0.0,5870.412349700928
gpt4o,run_0,EXP1-Results/length/length_image_20.png,53.0,20,0.0,5959.702491760254
gpt4o,run_1,EXP1-Results/length/length_image_1.png,36.0,15,0.0,5517.248868942261
gpt4o,run_1,EXP1-Results/length/length_image_2.png,6.0,10,0.0,5690.344333648682
gpt4o,run_1,EXP1-Results/length/length_image_3.png,7.0,6,0.0,6018.4807777404785
gpt4o,run_1,EXP1-Results/length/length_image_4.png,37.0,24,0.0,5945.465326309204
gpt4o,run_1,EXP1-Results/length/length_image_5.png,48.0,30,0.0,5762.526512145996
gpt4o,run_1,EXP1-Results/length/length_image_6.png,36.0,30,0.0,5730.555057525635
gpt4o,run_1,EXP1-Results/length/length_image_7.png,10.0,20,0.0,5625.786542892456
gpt4o,run_1,EXP1-Results/length/length_image_8.png,22.0,20,0.0,5888.3020877838135
gpt4o,run_1,EXP1-Results/length/length_image_9.png,32.0,20,0.0,6802.840232849121
gpt4o,run_1,EXP1-Results/length/length_image_10.png,34.0,20,0.0,5672.687292098999
gpt4o,run_1,EXP1-Results/length/length_image_11.png,53.0,40,0.0,5894.376754760742
gpt4o,run_1,EXP1-Results/length/length_image_12.png,50.0,35,0.0,7109.657049179077
gpt4o,run_1,EXP1-Results/length/length_image_13.png,16.0,16,0.0,5925.184011459351
gpt4o,run_1,EXP1-Results/length/length_image_14.png,31.0,20,0.0,5725.505828857422
gpt4o,run_1,EXP1-Results/length/length_image_15.png,26.0,15,0.0,6001.734733581543
gpt4o,run_1,EXP1-Results/length/length_image_16.png,47.0,20,0.0,5653.486728668213
gpt4o,run_1,EXP1-Results/length/length_image_17.png,20.0,17,0.0,5985.338449478149
gpt4o,run_1,EXP1-Results/length/length_image_18.png,50.0,44,0.0,5614.649295806885
gpt4o,run_1,EXP1-Results/length/length_image_19.png,3.0,5,0.0,5692.647457122803
gpt4o,run_1,EXP1-Results/length/length_image_20.png,53.0,40,0.0,6215.251207351685
gpt4o,run_2,EXP1-Results/length/length_image_1.png,36.0,17,0.0,5692.455053329468
gpt4o,run_2,EXP1-Results/length/length_image_2.png,6.0,12,0.0,5755.007743835449
gpt4o,run_2,EXP1-Results/length/length_image_3.png,7.0,8,0.0,5606.6460609436035
gpt4o,run_2,EXP1-Results/length/length_image_4.png,37.0,40,0.0,5910.5048179626465
gpt4o,run_2,EXP1-Results/length/length_image_5.png,48.0,41,0.0,5593.522548675537
gpt4o,run_2,EXP1-Results/length/length_image_6.png,36.0,21,0.0,5683.675289154053
gpt4o,run_2,EXP1-Results/length/length_image_7.png,10.0,10,0.0,7146.893501281738
gpt4o,run_2,EXP1-Results/length/length_image_8.png,22.0,21,0.0,5866.669178009033
gpt4o,run_2,EXP1-Results/length/length_image_9.png,32.0,20,0.0,7424.175024032593
gpt4o,run_2,EXP1-Results/length/length_image_10.png,34.0,10,0.0,5634.441375732422
gpt4o,run_2,EXP1-Results/length/length_image_11.png,53.0,20,0.0,5979.4371128082275
gpt4o,run_2,EXP1-Results/length/length_image_12.png,50.0,30,0.0,6163.6903285980225
gpt4o,run_2,EXP1-Results/length/length_image_13.png,16.0,20,0.0,6372.253179550171
gpt4o,run_2,EXP1-Results/length/length_image_14.png,31.0,25,0.0,5626.322507858276
gpt4o,run_2,EXP1-Results/length/length_image_15.png,26.0,16,0.0,5881.72721862793
gpt4o,run_2,EXP1-Results/length/length_image_16.png,47.0,60,0.0,5768.022060394287
gpt4o,run_2,EXP1-Results/length/length_image_17.png,20.0,15,0.0,6074.0602016448975
gpt4o,run_2,EXP1-Results/length/length_image_18.png,50.0,33,0.0,5963.734149932861
gpt4o,run_2,EXP1-Results/length/length_image_19.png,3.0,12,0.0,5695.732831954956
gpt4o,run_2,EXP1-Results/length/length_image_20.png,53.0,25,0.0,6010.485887527466
gpt4o,average,,,,,
CustomLLaMA,run_0,EXP1-Results/length/length_image_1.png,36.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

40.0",0.0,460.7701301574707
CustomLLaMA,run_0,EXP1-Results/length/length_image_2.png,6.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

8.0",0.0,427.64878273010254
CustomLLaMA,run_0,EXP1-Results/length/length_image_3.png,7.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

8.0",0.0,434.93032455444336
CustomLLaMA,run_0,EXP1-Results/length/length_image_4.png,37.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

40.0",0.0,426.9900321960449
CustomLLaMA,run_0,EXP1-Results/length/length_image_5.png,48.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

48.0",0.0,424.6666431427002
CustomLLaMA,run_0,EXP1-Results/length/length_image_6.png,36.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

40.0",0.0,425.40812492370605
CustomLLaMA,run_0,EXP1-Results/length/length_image_7.png,10.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

13.0",0.0,431.7283630371094
CustomLLaMA,run_0,EXP1-Results/length/length_image_8.png,22.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

22.0",0.0,433.3622455596924
CustomLLaMA,run_0,EXP1-Results/length/length_image_9.png,32.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

32.0",0.0,423.3818054199219
CustomLLaMA,run_0,EXP1-Results/length/length_image_10.png,34.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

32.0",0.0,537.8513336181641
CustomLLaMA,run_0,EXP1-Results/length/length_image_11.png,53.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

52.0",0.0,424.0391254425049
CustomLLaMA,run_0,EXP1-Results/length/length_image_12.png,50.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

48.0",0.0,439.44621086120605
CustomLLaMA,run_0,EXP1-Results/length/length_image_13.png,16.0,"user
Estimate the line length from top to bottom (max height: 100). Number only. No explanation.
assistant

16.0",0.0,429.0173053741455
