model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP1-Results/angle/angle_image_1.png,12.0,Approximately 30 degrees.,0.0,6478.633880615234
gpt4o,run_0,EXP1-Results/angle/angle_image_2.png,67.0,Approximately 45 degrees.,0.0,6838.228225708008
gpt4o,run_0,EXP1-Results/angle/angle_image_3.png,22.0,45 degrees.,0.0,7166.020393371582
gpt4o,run_0,EXP1-Results/angle/angle_image_4.png,62.0,45 degrees.,0.0,6188.155651092529
gpt4o,run_0,EXP1-Results/angle/angle_image_5.png,64.0,45 degrees.,0.0,5953.264474868774
gpt4o,run_0,EXP1-Results/angle/angle_image_6.png,86.0,Approximately 40 degrees.,0.0,6373.023748397827
gpt4o,run_0,EXP1-Results/angle/angle_image_7.png,74.0,Approximately 45 degrees.,0.0,9337.752342224121
gpt4o,run_0,EXP1-Results/angle/angle_image_8.png,63.0,45 degrees.,0.0,6221.717357635498
gpt4o,run_0,EXP1-Results/angle/angle_image_9.png,86.0,45 degrees.,0.0,6601.90486907959
gpt4o,run_0,EXP1-Results/angle/angle_image_10.png,51.0,45 degrees.,0.0,6329.263210296631
gpt4o,run_0,EXP1-Results/angle/angle_image_11.png,63.0,45 degrees.,0.0,5954.315900802612
gpt4o,run_0,EXP1-Results/angle/angle_image_12.png,88.0,45 degrees.,0.0,5990.449666976929
gpt4o,run_0,EXP1-Results/angle/angle_image_13.png,63.0,45 degrees.,0.0,5705.549478530884
gpt4o,run_0,EXP1-Results/angle/angle_image_14.png,25.0,45 degrees.,0.0,5903.809070587158
gpt4o,run_0,EXP1-Results/angle/angle_image_15.png,56.0,Approximately 45 degrees.,0.0,6268.893718719482
gpt4o,run_0,EXP1-Results/angle/angle_image_16.png,1.0,45 degrees.,0.0,5800.921201705933
gpt4o,run_0,EXP1-Results/angle/angle_image_17.png,47.0,Approximately 60 degrees.,0.0,5758.486032485962
gpt4o,run_0,EXP1-Results/angle/angle_image_18.png,60.0,45 degrees.,0.0,5968.82176399231
gpt4o,run_0,EXP1-Results/angle/angle_image_19.png,28.0,45 degrees.,0.0,5972.088813781738
gpt4o,run_0,EXP1-Results/angle/angle_image_20.png,40.0,45 degrees.,0.0,5902.437448501587
gpt4o,run_0,EXP1-Results/angle/angle_image_21.png,11.0,45 degrees.,0.0,5971.1151123046875
gpt4o,run_0,EXP1-Results/angle/angle_image_22.png,81.0,Approximately 45 degrees.,0.0,5941.601753234863
gpt4o,run_0,EXP1-Results/angle/angle_image_23.png,22.0,30 degrees.,0.0,6110.7017993927
gpt4o,run_0,EXP1-Results/angle/angle_image_24.png,31.0,Approximately 30 degrees.,0.0,6911.167144775391
gpt4o,run_0,EXP1-Results/angle/angle_image_25.png,83.0,45 degrees.,0.0,6520.643472671509
gpt4o,run_0,EXP1-Results/angle/angle_image_26.png,87.0,Approximately 60 degrees.,0.0,5898.463726043701
gpt4o,run_0,EXP1-Results/angle/angle_image_27.png,46.0,30 degrees.,0.0,6155.458927154541
gpt4o,run_0,EXP1-Results/angle/angle_image_28.png,71.0,45 degrees.,0.0,6367.844820022583
gpt4o,run_0,EXP1-Results/angle/angle_image_29.png,82.0,45 degrees.,0.0,5942.420959472656
gpt4o,run_0,EXP1-Results/angle/angle_image_30.png,62.0,45 degrees.,0.0,5912.528038024902
gpt4o,run_0,EXP1-Results/angle/angle_image_31.png,41.0,45 degrees.,0.0,5982.246398925781
gpt4o,run_0,EXP1-Results/angle/angle_image_32.png,27.0,45 degrees.,0.0,5798.18320274353
gpt4o,run_0,EXP1-Results/angle/angle_image_33.png,12.0,Approximately 30 degrees.,0.0,6252.826690673828
gpt4o,run_0,EXP1-Results/angle/angle_image_34.png,30.0,Approximately 45 degrees.,0.0,6157.961845397949
gpt4o,run_0,EXP1-Results/angle/angle_image_35.png,63.0,45 degrees.,0.0,5997.395038604736
gpt4o,run_0,EXP1-Results/angle/angle_image_36.png,77.0,30 degrees.,0.0,5978.025674819946
gpt4o,run_0,EXP1-Results/angle/angle_image_37.png,53.0,Approximately 45 degrees.,0.0,6183.495283126831
gpt4o,run_0,EXP1-Results/angle/angle_image_38.png,7.0,45 degrees.,0.0,6052.215576171875
gpt4o,run_0,EXP1-Results/angle/angle_image_39.png,40.0,45 degrees.,0.0,6022.290468215942
gpt4o,run_0,EXP1-Results/angle/angle_image_40.png,15.0,Approximately 20 degrees.,0.0,5703.8915157318115
gpt4o,run_0,EXP1-Results/angle/angle_image_41.png,26.0,Approximately 45 degrees.,0.0,5881.919860839844
gpt4o,run_0,EXP1-Results/angle/angle_image_42.png,41.0,45 degrees.,0.0,7172.358751296997
gpt4o,run_0,EXP1-Results/angle/angle_image_43.png,5.0,45 degrees.,0.0,6012.646675109863
gpt4o,run_0,EXP1-Results/angle/angle_image_44.png,26.0,45 degrees.,0.0,6024.580240249634
gpt4o,run_0,EXP1-Results/angle/angle_image_45.png,6.0,Approximately 30 degrees.,0.0,7764.849901199341
gpt4o,run_0,EXP1-Results/angle/angle_image_46.png,56.0,Approximately 45 degrees.,0.0,5826.4782428741455
gpt4o,run_0,EXP1-Results/angle/angle_image_47.png,70.0,45 degrees.,0.0,5934.588432312012
gpt4o,run_0,EXP1-Results/angle/angle_image_48.png,87.0,Approximately 70 degrees.,0.0,6480.362176895142
gpt4o,run_0,EXP1-Results/angle/angle_image_49.png,42.0,Approximately 40 degrees.,0.0,5795.835256576538
gpt4o,run_0,EXP1-Results/angle/angle_image_50.png,24.0,45 degrees.,0.0,5999.788045883179
gpt4o,run_0,EXP1-Results/angle/angle_image_51.png,61.0,45 degrees.,0.0,5653.34677696228
gpt4o,run_0,EXP1-Results/angle/angle_image_52.png,56.0,Approximately 40 degrees.,0.0,5822.80158996582
gpt4o,run_0,EXP1-Results/angle/angle_image_53.png,86.0,Approximately 70 degrees.,0.0,6041.271448135376
gpt4o,run_0,EXP1-Results/angle/angle_image_54.png,90.0,Approximately 45 degrees.,0.0,6100.008249282837
gpt4o,run_0,EXP1-Results/angle/angle_image_55.png,64.0,45 degrees.,0.0,6112.7941608428955
gpt4o,run_1,EXP1-Results/angle/angle_image_1.png,12.0,Approximately 30 degrees.,0.0,6054.930686950684
gpt4o,run_1,EXP1-Results/angle/angle_image_2.png,67.0,Approximately 45 degrees.,0.0,5717.278242111206
gpt4o,run_1,EXP1-Results/angle/angle_image_3.png,22.0,Approximately 30 degrees.,0.0,5887.8161907196045
gpt4o,run_1,EXP1-Results/angle/angle_image_4.png,62.0,45 degrees.,0.0,6277.092933654785
gpt4o,run_1,EXP1-Results/angle/angle_image_5.png,64.0,Approximately 60 degrees.,0.0,5894.34552192688
gpt4o,run_1,EXP1-Results/angle/angle_image_6.png,86.0,Approximately 60 degrees.,0.0,6156.48889541626
gpt4o,run_1,EXP1-Results/angle/angle_image_7.png,74.0,Approximately 45 degrees.,0.0,6059.929370880127
gpt4o,run_1,EXP1-Results/angle/angle_image_8.png,63.0,Approximately 28 degrees.,0.0,6772.589445114136
gpt4o,run_1,EXP1-Results/angle/angle_image_9.png,86.0,Approximately 45 degrees.,0.0,5914.959192276001
gpt4o,run_1,EXP1-Results/angle/angle_image_10.png,51.0,45 degrees.,0.0,6119.193077087402
gpt4o,run_1,EXP1-Results/angle/angle_image_11.png,63.0,Approximately 45 degrees.,0.0,5916.302680969238
gpt4o,run_1,EXP1-Results/angle/angle_image_12.png,88.0,45 degrees.,0.0,5998.659133911133
gpt4o,run_1,EXP1-Results/angle/angle_image_13.png,63.0,45 degrees.,0.0,5680.858373641968
gpt4o,run_1,EXP1-Results/angle/angle_image_14.png,25.0,45 degrees.,0.0,5962.592601776123
gpt4o,run_1,EXP1-Results/angle/angle_image_15.png,56.0,45 degrees.,0.0,6457.497835159302
gpt4o,run_1,EXP1-Results/angle/angle_image_16.png,1.0,45 degrees.,0.0,5678.110599517822
gpt4o,run_1,EXP1-Results/angle/angle_image_17.png,47.0,Approximately 45 degrees.,0.0,5805.191993713379
gpt4o,run_1,EXP1-Results/angle/angle_image_18.png,60.0,45 degrees.,0.0,6105.578184127808
gpt4o,run_1,EXP1-Results/angle/angle_image_19.png,28.0,45 degrees.,0.0,5893.784284591675
gpt4o,run_1,EXP1-Results/angle/angle_image_20.png,40.0,45 degrees.,0.0,5900.231122970581
gpt4o,run_1,EXP1-Results/angle/angle_image_21.png,11.0,Approximately 45 degrees.,0.0,5969.818592071533
gpt4o,run_1,EXP1-Results/angle/angle_image_22.png,81.0,45 degrees.,0.0,5909.88826751709
gpt4o,run_1,EXP1-Results/angle/angle_image_23.png,22.0,Approximately 30 degrees.,0.0,6078.031778335571
gpt4o,run_1,EXP1-Results/angle/angle_image_24.png,31.0,30 degrees.,0.0,5823.454141616821
gpt4o,run_1,EXP1-Results/angle/angle_image_25.png,83.0,45 degrees.,0.0,6259.5720291137695
gpt4o,run_1,EXP1-Results/angle/angle_image_26.png,87.0,Approximately 60 degrees.,0.0,6088.142871856689
gpt4o,run_1,EXP1-Results/angle/angle_image_27.png,46.0,45 degrees.,0.0,5843.03092956543
gpt4o,run_1,EXP1-Results/angle/angle_image_28.png,71.0,About 35 degrees.,0.0,6030.328035354614
gpt4o,run_1,EXP1-Results/angle/angle_image_29.png,82.0,45 degrees.,0.0,7162.733316421509
gpt4o,run_1,EXP1-Results/angle/angle_image_30.png,62.0,45 degrees.,0.0,5753.477573394775
gpt4o,run_1,EXP1-Results/angle/angle_image_31.png,41.0,Approximately 45 degrees.,0.0,6722.66960144043
gpt4o,run_1,EXP1-Results/angle/angle_image_32.png,27.0,Approximately 45 degrees.,0.0,6065.062999725342
gpt4o,run_1,EXP1-Results/angle/angle_image_33.png,12.0,Approximately 45 degrees.,0.0,6437.503099441528
gpt4o,run_1,EXP1-Results/angle/angle_image_34.png,30.0,Approximately 45 degrees.,0.0,6045.63307762146
gpt4o,run_1,EXP1-Results/angle/angle_image_35.png,63.0,45 degrees.,0.0,7570.49036026001
gpt4o,run_1,EXP1-Results/angle/angle_image_36.png,77.0,30 degrees.,0.0,6049.899101257324
gpt4o,run_1,EXP1-Results/angle/angle_image_37.png,53.0,Approximately 45 degrees.,0.0,6061.600923538208
gpt4o,run_1,EXP1-Results/angle/angle_image_38.png,7.0,Approximately 30 degrees.,0.0,6184.973239898682
gpt4o,run_1,EXP1-Results/angle/angle_image_39.png,40.0,45 degrees.,0.0,5996.2663650512695
gpt4o,run_1,EXP1-Results/angle/angle_image_40.png,15.0,25 degrees.,0.0,5680.344104766846
gpt4o,run_1,EXP1-Results/angle/angle_image_41.png,26.0,Approximately 45 degrees.,0.0,6077.112674713135
gpt4o,run_1,EXP1-Results/angle/angle_image_42.png,41.0,40 degrees.,0.0,6080.691337585449
gpt4o,run_1,EXP1-Results/angle/angle_image_43.png,5.0,45 degrees.,0.0,6344.297647476196
gpt4o,run_1,EXP1-Results/angle/angle_image_44.png,26.0,45 degrees.,0.0,5940.758943557739
gpt4o,run_1,EXP1-Results/angle/angle_image_45.png,6.0,30 degrees.,0.0,5972.064256668091
gpt4o,run_1,EXP1-Results/angle/angle_image_46.png,56.0,Approximately 35 degrees.,0.0,5788.8665199279785
gpt4o,run_1,EXP1-Results/angle/angle_image_47.png,70.0,45 degrees.,0.0,5943.576812744141
gpt4o,run_1,EXP1-Results/angle/angle_image_48.png,87.0,Approximately 55 degrees.,0.0,6485.74161529541
gpt4o,run_1,EXP1-Results/angle/angle_image_49.png,42.0,Approximately 45 degrees.,0.0,5881.548881530762
gpt4o,run_1,EXP1-Results/angle/angle_image_50.png,24.0,45 degrees.,0.0,5960.226774215698
gpt4o,run_1,EXP1-Results/angle/angle_image_51.png,61.0,45 degrees.,0.0,28257.49659538269
gpt4o,run_1,EXP1-Results/angle/angle_image_52.png,56.0,45 degrees.,0.0,5691.298961639404
gpt4o,run_1,EXP1-Results/angle/angle_image_53.png,86.0,45 degrees.,0.0,6044.444561004639
gpt4o,run_1,EXP1-Results/angle/angle_image_54.png,90.0,Approximately 60 degrees.,0.0,6050.737380981445
gpt4o,run_1,EXP1-Results/angle/angle_image_55.png,64.0,60 degrees.,0.0,6244.732856750488
gpt4o,run_2,EXP1-Results/angle/angle_image_1.png,12.0,Approximately 20 degrees.,0.0,6012.263774871826
gpt4o,run_2,EXP1-Results/angle/angle_image_2.png,67.0,Approximately 30 degrees.,0.0,5849.509239196777
gpt4o,run_2,EXP1-Results/angle/angle_image_3.png,22.0,Approximately 30 degrees.,0.0,6024.9292850494385
gpt4o,run_2,EXP1-Results/angle/angle_image_4.png,62.0,45 degrees,0.0,6674.580335617065
