model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP1-Results/volume/volume_image_1.png,2197.0,1,0.0,7161.978483200073
gpt4o,run_0,EXP1-Results/volume/volume_image_2.png,512.0,1,0.0,5961.727857589722
gpt4o,run_0,EXP1-Results/volume/volume_image_3.png,343.0,1,0.0,6197.1800327301025
gpt4o,run_0,EXP1-Results/volume/volume_image_4.png,343.0,1,0.0,5753.431558609009
gpt4o,run_0,EXP1-Results/volume/volume_image_5.png,1000.0,1,0.0,7532.2089195251465
gpt4o,run_0,EXP1-Results/volume/volume_image_6.png,1.0,1,0.0,6577.930212020874
gpt4o,run_0,EXP1-Results/volume/volume_image_7.png,125.0,125,0.0,6139.396190643311
gpt4o,run_0,EXP1-Results/volume/volume_image_8.png,8000.0,1,0.0,5772.569179534912
gpt4o,run_0,EXP1-Results/volume/volume_image_9.png,8000.0,125,0.0,5570.1000690460205
gpt4o,run_0,EXP1-Results/volume/volume_image_10.png,64.0,1,0.0,6072.97420501709
gpt4o,run_0,EXP1-Results/volume/volume_image_11.png,343.0,1,0.0,5811.124086380005
gpt4o,run_0,EXP1-Results/volume/volume_image_12.png,512.0,1,0.0,5966.913223266602
gpt4o,run_0,EXP1-Results/volume/volume_image_13.png,27.0,1,0.0,6031.028509140015
gpt4o,run_0,EXP1-Results/volume/volume_image_14.png,4096.0,512,0.0,6075.711488723755
gpt4o,run_0,EXP1-Results/volume/volume_image_15.png,6859.0,8,0.0,6445.553302764893
gpt4o,run_0,EXP1-Results/volume/volume_image_16.png,4096.0,8,0.0,5829.872369766235
gpt4o,run_0,EXP1-Results/volume/volume_image_17.png,6859.0,1,0.0,6335.13331413269
gpt4o,run_0,EXP1-Results/volume/volume_image_18.png,5832.0,8,0.0,5940.492868423462
gpt4o,run_0,EXP1-Results/volume/volume_image_19.png,4913.0,1,0.0,6410.322427749634
gpt4o,run_0,EXP1-Results/volume/volume_image_20.png,8000.0,1,0.0,5752.997875213623
gpt4o,run_0,EXP1-Results/volume/volume_image_21.png,512.0,1,0.0,5916.785717010498
gpt4o,run_0,EXP1-Results/volume/volume_image_22.png,4096.0,125,0.0,5634.161949157715
gpt4o,run_0,EXP1-Results/volume/volume_image_23.png,4096.0,1,0.0,5610.11528968811
gpt4o,run_0,EXP1-Results/volume/volume_image_24.png,1.0,1,0.0,5904.888153076172
gpt4o,run_0,EXP1-Results/volume/volume_image_25.png,8000.0,125,0.0,5594.626665115356
gpt4o,run_0,EXP1-Results/volume/volume_image_26.png,125.0,1,0.0,5546.532392501831
gpt4o,run_0,EXP1-Results/volume/volume_image_27.png,1331.0,1,0.0,5795.922040939331
gpt4o,run_0,EXP1-Results/volume/volume_image_28.png,2197.0,125,0.0,7772.322654724121
gpt4o,run_0,EXP1-Results/volume/volume_image_29.png,1000.0,1,0.0,6145.068645477295
gpt4o,run_0,EXP1-Results/volume/volume_image_30.png,2197.0,1,0.0,7073.31109046936
gpt4o,run_0,EXP1-Results/volume/volume_image_31.png,8000.0,1,0.0,5689.784526824951
gpt4o,run_0,EXP1-Results/volume/volume_image_32.png,8000.0,1,0.0,6271.191358566284
gpt4o,run_0,EXP1-Results/volume/volume_image_33.png,512.0,1,0.0,5990.141868591309
gpt4o,run_0,EXP1-Results/volume/volume_image_34.png,8000.0,1,0.0,5565.581560134888
gpt4o,run_0,EXP1-Results/volume/volume_image_35.png,1000.0,64,0.0,5648.956298828125
gpt4o,run_0,EXP1-Results/volume/volume_image_36.png,512.0,1,0.0,5904.67095375061
gpt4o,run_0,EXP1-Results/volume/volume_image_37.png,64.0,1,0.0,5932.343006134033
gpt4o,run_0,EXP1-Results/volume/volume_image_38.png,8000.0,1,0.0,5531.169414520264
gpt4o,run_0,EXP1-Results/volume/volume_image_39.png,64.0,1,0.0,6378.265142440796
gpt4o,run_0,EXP1-Results/volume/volume_image_40.png,3375.0,125,0.0,6386.30485534668
gpt4o,run_0,EXP1-Results/volume/volume_image_41.png,216.0,1,0.0,5755.474805831909
gpt4o,run_0,EXP1-Results/volume/volume_image_42.png,6859.0,1,0.0,6209.1569900512695
gpt4o,run_0,EXP1-Results/volume/volume_image_43.png,343.0,125,0.0,5777.462482452393
gpt4o,run_0,EXP1-Results/volume/volume_image_44.png,1331.0,1,0.0,5948.182821273804
gpt4o,run_0,EXP1-Results/volume/volume_image_45.png,729.0,1,0.0,6144.76466178894
gpt4o,run_0,EXP1-Results/volume/volume_image_46.png,27.0,1,0.0,5833.566904067993
gpt4o,run_0,EXP1-Results/volume/volume_image_47.png,125.0,8,0.0,5520.840644836426
gpt4o,run_0,EXP1-Results/volume/volume_image_48.png,216.0,1,0.0,5644.791841506958
gpt4o,run_0,EXP1-Results/volume/volume_image_49.png,729.0,1,0.0,5578.03750038147
gpt4o,run_0,EXP1-Results/volume/volume_image_50.png,1000.0,1,0.0,5757.378101348877
gpt4o,run_0,EXP1-Results/volume/volume_image_51.png,1000.0,1,0.0,5603.522300720215
gpt4o,run_0,EXP1-Results/volume/volume_image_52.png,8.0,1,0.0,5675.374507904053
gpt4o,run_0,EXP1-Results/volume/volume_image_53.png,2197.0,27,0.0,7182.345151901245
gpt4o,run_0,EXP1-Results/volume/volume_image_54.png,2197.0,8,0.0,7609.324216842651
