model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_1.png,55.0,30,0.0,11903.645753860474
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_2.png,14.0,15,0.0,5809.00764465332
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_3.png,47.0,25,0.0,6165.651321411133
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_4.png,13.0,20,0.0,5871.335744857788
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_5.png,38.0,20,0.0,5926.967144012451
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_6.png,25.0,30,0.0,6040.970802307129
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_7.png,22.0,25,0.0,6206.820011138916
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_8.png,34.0,30,0.0,6207.823038101196
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_9.png,41.0,30,0.0,6246.919870376587
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_10.png,31.0,25,0.0,5757.643938064575
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_11.png,41.0,30,0.0,6197.553873062134
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_12.png,21.0,30,0.0,5859.574556350708
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_13.png,48.0,20,0.0,6513.36932182312
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_14.png,2.0,15,0.0,5770.530700683594
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_15.png,5.0,15,0.0,6245.484113693237
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_16.png,41.0,30,0.0,5849.028825759888
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_17.png,28.0,30,0.0,6038.595914840698
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_18.png,21.0,20,0.0,5821.353197097778
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_19.png,58.0,30,0.0,5805.518627166748
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_20.png,28.0,30,0.0,5966.089963912964
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_21.png,28.0,25,0.0,5860.440492630005
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_22.png,22.0,20,0.0,5779.843807220459
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_23.png,9.0,10,0.0,5885.81919670105
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_24.png,49.0,30,0.0,6741.768360137939
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_25.png,9.0,10,0.0,5840.814590454102
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_26.png,38.0,30,0.0,5661.545991897583
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_27.png,6.0,15,0.0,5728.840112686157
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_28.png,56.0,30,0.0,5980.885744094849
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_29.png,9.0,15,0.0,6163.061141967773
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_30.png,29.0,30,0.0,5643.843412399292
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_31.png,1.0,10,0.0,5703.601360321045
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_32.png,34.0,30,0.0,5795.624017715454
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_33.png,58.0,30,0.0,5653.756856918335
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_34.png,37.0,30,0.0,6085.278749465942
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_35.png,4.0,10,0.0,6223.141670227051
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_36.png,22.0,30,0.0,5852.253675460815
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_37.png,5.0,10,0.0,6052.710056304932
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_38.png,3.0,10,0.0,6498.426914215088
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_39.png,59.0,45,0.0,5803.700685501099
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_40.png,45.0,30,0.0,6419.520378112793
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_41.png,23.0,30,0.0,6197.68762588501
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_42.png,47.0,22,0.0,6102.536916732788
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_43.png,32.0,30,0.0,5917.513132095337
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_44.png,26.0,25,0.0,6139.18137550354
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_45.png,48.0,28,0.0,6301.6908168792725
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_46.png,48.0,25,0.0,5815.91010093689
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_47.png,10.0,20,0.0,6045.602560043335
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_48.png,26.0,30,0.0,5852.402687072754
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_49.png,8.0,5,0.0,5753.872632980347
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_50.png,43.0,20,0.0,5953.339576721191
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_51.png,3.0,10,0.0,5623.945713043213
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_52.png,51.0,20,0.0,5700.258731842041
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_53.png,14.0,15,0.0,5787.165880203247
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_54.png,55.0,30,0.0,6184.460878372192
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_55.png,46.0,30,0.0,5774.550199508667
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_1.png,55.0,30,0.0,6016.3750648498535
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_2.png,14.0,20,0.0,5549.448728561401
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_3.png,47.0,25,0.0,6300.918817520142
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_4.png,13.0,20,0.0,5972.786426544189
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_5.png,38.0,25,0.0,6243.188381195068
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_6.png,25.0,20,0.0,5789.786815643311
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_7.png,22.0,30,0.0,5900.45166015625
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_8.png,34.0,30,0.0,5880.473613739014
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_9.png,41.0,30,0.0,5877.372026443481
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_10.png,31.0,25,0.0,5748.528480529785
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_11.png,41.0,30,0.0,6114.774465560913
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_12.png,21.0,20,0.0,5694.063901901245
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_13.png,48.0,30,0.0,5819.908380508423
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_14.png,2.0,10,0.0,6914.88242149353
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_15.png,5.0,10,0.0,5853.041648864746
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_16.png,41.0,30,0.0,5914.586782455444
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_17.png,28.0,30,0.0,6437.957286834717
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_18.png,21.0,30,0.0,5834.095478057861
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_19.png,58.0,30,0.0,5703.258275985718
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_20.png,28.0,30,0.0,5956.536293029785
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_21.png,28.0,30,0.0,5899.861574172974
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_22.png,22.0,25,0.0,5788.534641265869
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_23.png,9.0,15,0.0,5933.016061782837
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_24.png,49.0,30,0.0,6058.603525161743
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_25.png,9.0,10,0.0,5816.89453125
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_26.png,38.0,30,0.0,5672.072649002075
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_27.png,6.0,15,0.0,6064.0411376953125
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_28.png,56.0,30,0.0,6109.874963760376
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_29.png,9.0,20,0.0,5822.69024848938
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_30.png,29.0,30,0.0,6168.2257652282715
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_31.png,1.0,10,0.0,5807.70206451416
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_32.png,34.0,30,0.0,5794.490337371826
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_33.png,58.0,30,0.0,5673.788547515869
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_34.png,37.0,30,0.0,5741.901636123657
