model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_1.png,33.0,30,0.0,6076.833009719849
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_2.png,56.0,30,0.0,7916.329622268677
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_3.png,23.0,30,0.0,6051.377773284912
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_4.png,59.0,50,0.0,5964.805126190186
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_5.png,58.0,30,0.0,5973.288059234619
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_6.png,34.0,30,0.0,5689.367771148682
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_7.png,28.0,30,0.0,6131.463527679443
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_8.png,44.0,30,0.0,5823.0884075164795
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_9.png,38.0,30,0.0,6302.921533584595
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_10.png,53.0,40,0.0,6328.780651092529
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_11.png,53.0,20,0.0,6179.9726486206055
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_12.png,54.0,28,0.0,6380.957365036011
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_13.png,47.0,30,0.0,6122.26939201355
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_14.png,54.0,30,0.0,5969.458103179932
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_15.png,1.0,10,0.0,6077.125549316406
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_16.png,22.0,28,0.0,6231.789588928223
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_17.png,30.0,30,0.0,5979.075193405151
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_18.png,21.0,30,0.0,6452.325344085693
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_19.png,15.0,20,0.0,5994.867324829102
gpt4o,run_0,EXP1-Results/position_common_scale/position_common_scale_image_20.png,8.0,15,0.0,5752.193212509155
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_1.png,33.0,30,0.0,5903.260231018066
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_2.png,56.0,40,0.0,5678.192853927612
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_3.png,23.0,30,0.0,5825.113773345947
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_4.png,59.0,40,0.0,8797.050476074219
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_5.png,58.0,40,0.0,6007.971525192261
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_6.png,34.0,30,0.0,5575.448513031006
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_7.png,28.0,30,0.0,6333.171367645264
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_8.png,44.0,30,0.0,5616.691827774048
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_9.png,38.0,30,0.0,5830.522775650024
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_10.png,53.0,30,0.0,5938.393115997314
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_11.png,53.0,40,0.0,5708.529710769653
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_12.png,54.0,30,0.0,5984.087228775024
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_13.png,47.0,30,0.0,5986.836671829224
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_14.png,54.0,30,0.0,5936.838626861572
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_15.png,1.0,10,0.0,5876.716613769531
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_16.png,22.0,30,0.0,6139.684200286865
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_17.png,30.0,30,0.0,5922.476768493652
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_18.png,21.0,30,0.0,6139.879941940308
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_19.png,15.0,20,0.0,6460.202932357788
gpt4o,run_1,EXP1-Results/position_common_scale/position_common_scale_image_20.png,8.0,20,0.0,5710.662364959717
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_1.png,33.0,30,0.0,5925.837516784668
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_2.png,56.0,45,0.0,8728.55257987976
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_3.png,23.0,33,0.0,6018.4032917022705
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_4.png,59.0,50,0.0,6370.079755783081
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_5.png,58.0,42,0.0,6189.945936203003
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_6.png,34.0,32,0.0,5880.782604217529
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_7.png,28.0,20,0.0,6034.594297409058
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_8.png,44.0,30,0.0,5641.755104064941
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_9.png,38.0,30,0.0,5838.019847869873
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_10.png,53.0,30,0.0,5738.707542419434
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_11.png,53.0,30,0.0,5638.802766799927
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_12.png,54.0,35,0.0,5993.624210357666
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_13.png,47.0,38,0.0,6323.223829269409
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_14.png,54.0,30,0.0,5952.906370162964
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_15.png,1.0,8,0.0,5894.360303878784
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_16.png,22.0,30,0.0,5947.789430618286
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_17.png,30.0,30,0.0,7009.953498840332
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_18.png,21.0,27,0.0,6003.113746643066
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_19.png,15.0,13,0.0,6185.2827072143555
gpt4o,run_2,EXP1-Results/position_common_scale/position_common_scale_image_20.png,8.0,20,0.0,5739.614248275757
gpt4o,average,,,,,
CustomLLaMA,run_0,EXP1-Results/position_common_scale/position_common_scale_image_1.png,33.0,"user
Estimate the block's vertical position (0-60, top to bottom). Number only. No explanation.
assistant

34.0",0.0,2793.90287399292
CustomLLaMA,run_0,EXP1-Results/position_common_scale/position_common_scale_image_2.png,56.0,"user
Estimate the block's vertical position (0-60, top to bottom). Number only. No explanation.
assistant

52.0",0.0,431.9744110107422
CustomLLaMA,run_0,EXP1-Results/position_common_scale/position_common_scale_image_3.png,23.0,"user
Estimate the block's vertical position (0-60, top to bottom). Number only. No explanation.
assistant

26.0",0.0,483.5026264190674
CustomLLaMA,run_0,EXP1-Results/position_common_scale/position_common_scale_image_4.png,59.0,"user
Estimate the block's vertical position (0-60, top to bottom). Number only. No explanation.
assistant

54.0",0.0,439.8195743560791
CustomLLaMA,run_0,EXP1-Results/position_common_scale/position_common_scale_image_5.png,58.0,"user
Estimate the block's vertical position (0-60, top to bottom). Number only. No explanation.
assistant

52.0",0.0,430.02891540527344
CustomLLaMA,run_0,EXP1-Results/position_common_scale/position_common_scale_image_6.png,34.0,"user
Estimate the block's vertical position (0-60, top to bottom). Number only. No explanation.
assistant

34.0",0.0,430.2177429199219
