model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP1-Results/direction/direction_image_1.png,104.0,135,0.0,6023.793697357178
gpt4o,run_0,EXP1-Results/direction/direction_image_2.png,212.0,45,0.0,5766.133069992065
gpt4o,run_0,EXP1-Results/direction/direction_image_3.png,215.0,50,0.0,5953.326940536499
gpt4o,run_0,EXP1-Results/direction/direction_image_4.png,68.0,35,0.0,6007.6093673706055
gpt4o,run_0,EXP1-Results/direction/direction_image_5.png,70.0,40,0.0,6732.647180557251
gpt4o,run_0,EXP1-Results/direction/direction_image_6.png,252.0,63,0.0,6004.79531288147
gpt4o,run_0,EXP1-Results/direction/direction_image_7.png,34.0,60,0.0,5972.732782363892
gpt4o,run_0,EXP1-Results/direction/direction_image_8.png,132.0,45,0.0,5654.645919799805
gpt4o,run_0,EXP1-Results/direction/direction_image_9.png,35.0,50,0.0,5902.792453765869
gpt4o,run_0,EXP1-Results/direction/direction_image_10.png,135.0,40,0.0,5699.318408966064
gpt4o,run_0,EXP1-Results/direction/direction_image_11.png,95.0,180,0.0,5946.238040924072
gpt4o,run_0,EXP1-Results/direction/direction_image_12.png,322.0,45,0.0,5966.618776321411
gpt4o,run_0,EXP1-Results/direction/direction_image_13.png,183.0,0,0.0,5712.044715881348
gpt4o,run_0,EXP1-Results/direction/direction_image_14.png,164.0,135,0.0,5934.853553771973
gpt4o,run_0,EXP1-Results/direction/direction_image_15.png,274.0,180,0.0,5878.86118888855
gpt4o,run_0,EXP1-Results/direction/direction_image_16.png,259.0,34,0.0,5775.6688594818115
gpt4o,run_0,EXP1-Results/direction/direction_image_17.png,134.0,45,0.0,5587.329149246216
gpt4o,run_0,EXP1-Results/direction/direction_image_18.png,290.0,210,0.0,5741.8670654296875
gpt4o,run_0,EXP1-Results/direction/direction_image_19.png,116.0,315,0.0,5935.067176818848
gpt4o,run_0,EXP1-Results/direction/direction_image_20.png,279.0,180,0.0,5898.684740066528
gpt4o,run_1,EXP1-Results/direction/direction_image_1.png,104.0,300,0.0,5784.904003143311
gpt4o,run_1,EXP1-Results/direction/direction_image_2.png,212.0,60,0.0,5802.25682258606
gpt4o,run_1,EXP1-Results/direction/direction_image_3.png,215.0,55,0.0,5882.412433624268
gpt4o,run_1,EXP1-Results/direction/direction_image_4.png,68.0,65,0.0,5894.962310791016
gpt4o,run_1,EXP1-Results/direction/direction_image_5.png,70.0,45,0.0,5876.638412475586
gpt4o,run_1,EXP1-Results/direction/direction_image_6.png,252.0,49,0.0,5851.07946395874
gpt4o,run_1,EXP1-Results/direction/direction_image_7.png,34.0,54,0.0,5952.841520309448
gpt4o,run_1,EXP1-Results/direction/direction_image_8.png,132.0,133,0.0,5611.807346343994
gpt4o,run_1,EXP1-Results/direction/direction_image_9.png,35.0,65,0.0,5837.146043777466
gpt4o,run_1,EXP1-Results/direction/direction_image_10.png,135.0,67,0.0,5553.889513015747
gpt4o,run_1,EXP1-Results/direction/direction_image_11.png,95.0,185,0.0,5962.761640548706
gpt4o,run_1,EXP1-Results/direction/direction_image_12.png,322.0,320,0.0,5937.177658081055
gpt4o,run_1,EXP1-Results/direction/direction_image_13.png,183.0,90,0.0,5655.587673187256
gpt4o,run_1,EXP1-Results/direction/direction_image_14.png,164.0,125,0.0,5855.574369430542
gpt4o,run_1,EXP1-Results/direction/direction_image_15.png,274.0,180,0.0,6421.424388885498
gpt4o,run_1,EXP1-Results/direction/direction_image_16.png,259.0,33,0.0,5567.06428527832
gpt4o,run_1,EXP1-Results/direction/direction_image_17.png,134.0,45,0.0,5543.818235397339
gpt4o,run_1,EXP1-Results/direction/direction_image_18.png,290.0,320,0.0,5541.205883026123
gpt4o,run_1,EXP1-Results/direction/direction_image_19.png,116.0,120,0.0,5856.47177696228
gpt4o,run_1,EXP1-Results/direction/direction_image_20.png,279.0,180,0.0,6034.693956375122
gpt4o,run_2,EXP1-Results/direction/direction_image_1.png,104.0,45,0.0,5585.923671722412
gpt4o,run_2,EXP1-Results/direction/direction_image_2.png,212.0,45,0.0,5842.5469398498535
gpt4o,run_2,EXP1-Results/direction/direction_image_3.png,215.0,45,0.0,6625.847339630127
gpt4o,run_2,EXP1-Results/direction/direction_image_4.png,68.0,30,0.0,6263.850688934326
gpt4o,run_2,EXP1-Results/direction/direction_image_5.png,70.0,30,0.0,5953.3445835113525
gpt4o,run_2,EXP1-Results/direction/direction_image_6.png,252.0,45,0.0,6182.365417480469
