model_name,run,image_path,ground_truth,raw_answers,forced_repetitions
gpt4o,run_0,EXP4-Results/unframed/unframed_image_1.png,"[53, 50]","[55, 50]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_2.png,"[59, 52]","[59, 54]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_3.png,"[53, 60]","[50, 55]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_4.png,"[60, 49]","[55, 50]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_5.png,"[54, 59]","[53, 57]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_6.png,"[57, 51]","[60, 54]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_7.png,"[57, 51]","[55, 50]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_8.png,"[57, 59]","[54, 56]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_9.png,"[55, 49]","[56, 52]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_10.png,"[51, 52]","[50, 55]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_11.png,"[59, 55]","[55, 58]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_12.png,"[58, 60]","[55, 57]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_13.png,"[54, 52]","[55, 57]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_14.png,"[51, 57]","[54, 58]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_15.png,"[49, 54]","[56, 51]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_16.png,"[54, 53]","[55, 55]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_17.png,"[55, 54]","[52, 59]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_18.png,"[56, 50]","[50, 55]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_19.png,"[56, 50]","[56, 52]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_20.png,"[49, 58]","[50, 55]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_21.png,"[57, 50]","[58, 55]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_22.png,"[49, 52]","[50, 55]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_23.png,"[50, 49]","[53, 55]",0
gpt4o,run_0,EXP4-Results/unframed/unframed_image_24.png,"[52, 56]","[50, 58]",0
