model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_1.png,274.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.275",0.0,958.9893817901611
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_2.png,283.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.274",0.0,416.40162467956543
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_3.png,263.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.274",0.0,424.09348487854004
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_4.png,43.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.35",0.0,421.4968681335449
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_5.png,65.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.274",0.0,418.03956031799316
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_6.png,206.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.242",0.0,422.6863384246826
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_7.png,48.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.275",0.0,421.63991928100586
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_8.png,150.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.168",0.0,426.44739151000977
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_9.png,348.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.://",0.0,422.3480224609375
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_10.png,208.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.229",0.0,426.12361907958984
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_11.png,350.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.0",0.0,419.4014072418213
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_12.png,2.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.0",0.0,425.9982109069824
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_13.png,264.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.242",0.0,455.5673599243164
CustomLLaMA,run_0,EXP1-Results/direction/direction_image_14.png,29.0,"user
Estimate the line's direction (range: 0-359 degrees). Number only. No explanation.
assistant

0.30",0.0,428.4703731536865
