model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_1.png,0.001,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

0.0",0.0,957.8285217285156
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_2.png,0.021,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

0._REF",0.0,430.462121963501
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_3.png,0.029,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://.002",0.0,511.8598937988281
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_4.png,0.084,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

068",0.0,335.74628829956055
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_5.png,0.029,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://assistant

://.://000000000000000001",0.0,960.2389335632324
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_6.png,0.076,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

72.://",0.0,419.7087287902832
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_7.png,0.087,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

81.://",0.0,419.94714736938477
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_8.png,0.022,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://000000000000000001",0.0,689.3041133880615
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_9.png,0.046,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://.000000000000000001",0.0,736.217737197876
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_10.png,0.074,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

61.://",0.0,478.72447967529297
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_11.png,0.068,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

64.://",0.0,413.4645462036133
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_12.png,0.078,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://www.000000000000000001",0.0,779.4070243835449
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_13.png,0.012,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

0.0",0.0,419.1434383392334
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_14.png,0.076,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

061.://",0.0,427.33216285705566
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_15.png,0.044,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://000000000000000002",0.0,700.0277042388916
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_16.png,0.036,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://assistant

://.://000000000000000001",0.0,958.082914352417
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_17.png,0.087,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

86.://",0.0,420.05157470703125
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_18.png,0.0,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

0.0",0.0,426.79858207702637
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_19.png,0.047,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

0.://",0.0,425.3661632537842
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_20.png,0.081,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

82.://",0.0,423.73132705688477
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_21.png,0.003,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

0.0",0.0,425.2817630767822
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_22.png,0.05,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://assistant

0.046",0.0,696.1073875427246
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_23.png,0.027,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://assistant

://.://.019",0.0,787.0573997497559
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_24.png,0.069,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

68.://",0.0,421.75793647766113
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_25.png,0.077,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://.037",0.0,515.9375667572021
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_26.png,0.052,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://assistant

://.://000000000000000001",0.0,962.3985290527344
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_27.png,0.086,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

77.://",0.0,427.9294013977051
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_28.png,0.003,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

0.0",0.0,423.7639904022217
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_29.png,0.019,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://000000000000000001",0.0,703.5262584686279
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_30.png,0.076,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://000000000000000001",0.0,693.4776306152344
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_31.png,0.003,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

0.0",0.0,421.28586769104004
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_32.png,0.066,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://.037",0.0,507.854700088501
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_33.png,0.039,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://assistant

://.://assistant

://.://assistant

0.037",0.0,1242.582082748413
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_34.png,0.036,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://000000000000000002",0.0,687.7496242523193
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_35.png,0.012,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://000000000000000001",0.0,698.3096599578857
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_36.png,0.058,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://000000000000000001",0.0,694.3137645721436
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_37.png,0.027,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://assistant

://.://000000000000000001",0.0,961.174726486206
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_38.png,0.019,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

_REF.://",0.0,421.0672378540039
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_39.png,0.082,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

64.://",0.0,423.184871673584
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_40.png,0.081,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

0675.://",0.0,474.37000274658203
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_41.png,0.051,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

://.://assistant

://.://assistant

://.://.61",0.0,1068.458080291748
CustomLLaMA,run_0,EXP1-Results/curvature/curvature_image_42.png,0.071,"user
Estimate the line curvature (range: 0.000 to 0.088) of a Bezier curve constrained within a 100x100 pixel space. Provide only the numeric curvature value (up to 3 decimal places), no explanation.
assistant

65.://",0.0,438.49825859069824
