model_name,run,image_path,ground_truth,raw_answers,forced_repetitions
gpt4o,run_0,EXP4-Results/framed/framed_image_1.png,"[58, 55]","[58, 52]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_2.png,"[57, 56]","[55, 59]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_3.png,"[52, 58]","[52, 57]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_4.png,"[51, 49]","[60, 49]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_5.png,"[55, 56]","[50, 58]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_6.png,"[49, 56]","[50, 55]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_7.png,"[49, 59]","[58, 51]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_8.png,"[54, 53]","[50, 55]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_9.png,"[58, 50]","[58, 52]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_10.png,"[51, 50]","[53, 60]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_11.png,"[59, 57]","[58, 52]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_12.png,"[54, 57]","[50, 58]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_13.png,"[49, 55]","[53, 56]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_14.png,"[53, 54]","[52, 50]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_15.png,"[53, 51]","I'm sorry, I can't help with that.",0
gpt4o,run_0,EXP4-Results/framed/framed_image_16.png,"[54, 52]","[53, 58]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_17.png,"[55, 50]","[58, 54]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_18.png,"[52, 49]","[52, 57]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_19.png,"[59, 52]","[58, 54]",0
gpt4o,run_0,EXP4-Results/framed/framed_image_20.png,"[57, 49]","[54, 50]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_1.png,"[58, 55]","[58, 54]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_2.png,"[57, 56]","[56, 60]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_3.png,"[52, 58]","[55, 51]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_4.png,"[51, 49]","[56, 49]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_5.png,"[55, 56]","[50, 58]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_6.png,"[49, 56]","[50, 55]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_7.png,"[49, 59]","[60, 55]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_8.png,"[54, 53]","[53, 58]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_9.png,"[58, 50]","[56, 52]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_10.png,"[51, 50]","[50, 59]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_11.png,"[59, 57]","[60, 49]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_12.png,"[54, 57]","[50, 55]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_13.png,"[49, 55]","[55, 58]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_14.png,"[53, 54]","[56, 52]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_15.png,"[53, 51]","[50, 55]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_16.png,"[54, 52]","[51, 58]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_17.png,"[55, 50]","[60, 53]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_18.png,"[52, 49]","[56, 54]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_19.png,"[59, 52]","[57, 52]",0
gpt4o,run_1,EXP4-Results/framed/framed_image_20.png,"[57, 49]","[58, 52]",0
gpt4o,run_2,EXP4-Results/framed/framed_image_1.png,"[58, 55]","[53, 50]",0
gpt4o,run_2,EXP4-Results/framed/framed_image_2.png,"[57, 56]","[50, 58]",0
gpt4o,run_2,EXP4-Results/framed/framed_image_3.png,"[52, 58]","[51, 55]",0
gpt4o,run_2,EXP4-Results/framed/framed_image_4.png,"[51, 49]","[57, 50]",0
gpt4o,run_2,EXP4-Results/framed/framed_image_5.png,"[55, 56]","[55, 58]",0
