model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP5-Results/1000/1000_image_1.png,8.0,500,0.0,6269.803762435913
gpt4o,run_0,EXP5-Results/1000/1000_image_2.png,9.0,500,0.0,6045.476913452148
gpt4o,run_0,EXP5-Results/1000/1000_image_3.png,10.0,500,0.0,6002.81834602356
gpt4o,run_0,EXP5-Results/1000/1000_image_4.png,4.0,1000,0.0,6113.186359405518
gpt4o,run_0,EXP5-Results/1000/1000_image_5.png,9.0,500,0.0,6282.114505767822
gpt4o,run_0,EXP5-Results/1000/1000_image_6.png,4.0,1500,0.0,7369.565963745117
gpt4o,run_0,EXP5-Results/1000/1000_image_7.png,2.0,Approximately 500 dots.,0.0,6040.230751037598
gpt4o,run_0,EXP5-Results/1000/1000_image_8.png,9.0,300,0.0,5664.994478225708
gpt4o,run_0,EXP5-Results/1000/1000_image_9.png,9.0,500,0.0,5668.163299560547
gpt4o,run_0,EXP5-Results/1000/1000_image_10.png,4.0,1500,0.0,6050.718545913696
gpt4o,run_0,EXP5-Results/1000/1000_image_11.png,2.0,500,0.0,6045.793056488037
gpt4o,run_0,EXP5-Results/1000/1000_image_12.png,3.0,500,0.0,7776.009082794189
gpt4o,run_0,EXP5-Results/1000/1000_image_13.png,3.0,Approximately 600 more dots.,0.0,6065.9215450286865
gpt4o,run_0,EXP5-Results/1000/1000_image_14.png,1.0,500,0.0,5977.7984619140625
gpt4o,run_0,EXP5-Results/1000/1000_image_15.png,6.0,500,0.0,6243.000745773315
gpt4o,run_0,EXP5-Results/1000/1000_image_16.png,10.0,500,0.0,6023.653030395508
gpt4o,run_0,EXP5-Results/1000/1000_image_17.png,9.0,1500,0.0,6069.756031036377
gpt4o,run_0,EXP5-Results/1000/1000_image_18.png,7.0,500,0.0,6029.762744903564
gpt4o,run_0,EXP5-Results/1000/1000_image_19.png,7.0,500,0.0,5989.88151550293
gpt4o,run_0,EXP5-Results/1000/1000_image_20.png,10.0,500,0.0,7248.667478561401
gpt4o,run_1,EXP5-Results/1000/1000_image_1.png,8.0,500,0.0,5896.672487258911
gpt4o,run_1,EXP5-Results/1000/1000_image_2.png,9.0,500,0.0,6135.031461715698
gpt4o,run_1,EXP5-Results/1000/1000_image_3.png,10.0,Approximately 500.,0.0,5947.502613067627
gpt4o,run_1,EXP5-Results/1000/1000_image_4.png,4.0,1500,0.0,6108.649253845215
gpt4o,run_1,EXP5-Results/1000/1000_image_5.png,9.0,1500,0.0,5936.203718185425
gpt4o,run_1,EXP5-Results/1000/1000_image_6.png,4.0,1500,0.0,5824.786186218262
gpt4o,run_1,EXP5-Results/1000/1000_image_7.png,2.0,500,0.0,5951.651811599731
gpt4o,run_1,EXP5-Results/1000/1000_image_8.png,9.0,500,0.0,5730.385780334473
gpt4o,run_1,EXP5-Results/1000/1000_image_9.png,9.0,500,0.0,5624.504327774048
gpt4o,run_1,EXP5-Results/1000/1000_image_10.png,4.0,500,0.0,5973.881721496582
gpt4o,run_1,EXP5-Results/1000/1000_image_11.png,2.0,1500,0.0,6253.545045852661
gpt4o,run_1,EXP5-Results/1000/1000_image_12.png,3.0,1500,0.0,6097.433567047119
gpt4o,run_1,EXP5-Results/1000/1000_image_13.png,3.0,800,0.0,6033.146142959595
gpt4o,run_1,EXP5-Results/1000/1000_image_14.png,1.0,1500,0.0,5885.028600692749
gpt4o,run_1,EXP5-Results/1000/1000_image_15.png,6.0,500,0.0,6335.058927536011
gpt4o,run_1,EXP5-Results/1000/1000_image_16.png,10.0,500,0.0,7649.113178253174
gpt4o,run_1,EXP5-Results/1000/1000_image_17.png,9.0,500,0.0,6068.129301071167
gpt4o,run_1,EXP5-Results/1000/1000_image_18.png,7.0,500,0.0,5917.299270629883
gpt4o,run_1,EXP5-Results/1000/1000_image_19.png,7.0,500,0.0,5928.404808044434
gpt4o,run_1,EXP5-Results/1000/1000_image_20.png,10.0,500,0.0,6434.04746055603
gpt4o,run_2,EXP5-Results/1000/1000_image_1.png,8.0,800,0.0,5876.192808151245
gpt4o,run_2,EXP5-Results/1000/1000_image_2.png,9.0,1500,0.0,5960.9880447387695
gpt4o,run_2,EXP5-Results/1000/1000_image_3.png,10.0,500,0.0,6110.830307006836
gpt4o,run_2,EXP5-Results/1000/1000_image_4.png,4.0,500,0.0,5892.757415771484
