model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP1-Results/angle/angle_image_1.png,61.0,40,0.0,5992.968559265137
gpt4o,run_0,EXP1-Results/angle/angle_image_2.png,39.0,30,0.0,5964.926242828369
gpt4o,run_0,EXP1-Results/angle/angle_image_3.png,30.0,30,0.0,5939.579963684082
gpt4o,run_0,EXP1-Results/angle/angle_image_4.png,83.0,45,0.0,5929.551362991333
gpt4o,run_0,EXP1-Results/angle/angle_image_5.png,47.0,45,0.0,6132.651567459106
gpt4o,run_0,EXP1-Results/angle/angle_image_6.png,54.0,35,0.0,6534.350395202637
gpt4o,run_0,EXP1-Results/angle/angle_image_7.png,50.0,45,0.0,5672.543287277222
gpt4o,run_0,EXP1-Results/angle/angle_image_8.png,64.0,45,0.0,5975.328683853149
gpt4o,run_0,EXP1-Results/angle/angle_image_9.png,79.0,45,0.0,5673.949480056763
gpt4o,run_0,EXP1-Results/angle/angle_image_10.png,60.0,45,0.0,5957.577466964722
gpt4o,run_0,EXP1-Results/angle/angle_image_11.png,52.0,45,0.0,6146.831512451172
gpt4o,run_0,EXP1-Results/angle/angle_image_12.png,8.0,35,0.0,6009.057998657227
gpt4o,run_0,EXP1-Results/angle/angle_image_13.png,71.0,45,0.0,6946.336030960083
gpt4o,run_0,EXP1-Results/angle/angle_image_14.png,58.0,45,0.0,5861.928462982178
gpt4o,run_0,EXP1-Results/angle/angle_image_15.png,28.0,45,0.0,5688.312292098999
gpt4o,run_0,EXP1-Results/angle/angle_image_16.png,41.0,30,0.0,5931.536436080933
gpt4o,run_0,EXP1-Results/angle/angle_image_17.png,46.0,45,0.0,6356.259822845459
gpt4o,run_0,EXP1-Results/angle/angle_image_18.png,25.0,30,0.0,5710.207939147949
gpt4o,run_0,EXP1-Results/angle/angle_image_19.png,54.0,45,0.0,5849.342346191406
gpt4o,run_0,EXP1-Results/angle/angle_image_20.png,3.0,45,0.0,5789.28017616272
gpt4o,run_1,EXP1-Results/angle/angle_image_1.png,61.0,45,0.0,5711.149454116821
gpt4o,run_1,EXP1-Results/angle/angle_image_2.png,39.0,45,0.0,5784.842729568481
gpt4o,run_1,EXP1-Results/angle/angle_image_3.png,30.0,30,0.0,5853.324174880981
gpt4o,run_1,EXP1-Results/angle/angle_image_4.png,83.0,45,0.0,5897.674083709717
gpt4o,run_1,EXP1-Results/angle/angle_image_5.png,47.0,45,0.0,5844.989061355591
gpt4o,run_1,EXP1-Results/angle/angle_image_6.png,54.0,45,0.0,5848.048210144043
gpt4o,run_1,EXP1-Results/angle/angle_image_7.png,50.0,45,0.0,5848.8006591796875
gpt4o,run_1,EXP1-Results/angle/angle_image_8.png,64.0,45,0.0,5937.838077545166
gpt4o,run_1,EXP1-Results/angle/angle_image_9.png,79.0,45,0.0,5581.2389850616455
gpt4o,run_1,EXP1-Results/angle/angle_image_10.png,60.0,45,0.0,5862.551689147949
gpt4o,run_1,EXP1-Results/angle/angle_image_11.png,52.0,45,0.0,5600.58331489563
gpt4o,run_1,EXP1-Results/angle/angle_image_12.png,8.0,45,0.0,5863.023042678833
gpt4o,run_1,EXP1-Results/angle/angle_image_13.png,71.0,45,0.0,5854.566335678101
gpt4o,run_1,EXP1-Results/angle/angle_image_14.png,58.0,45,0.0,5671.3268756866455
gpt4o,run_1,EXP1-Results/angle/angle_image_15.png,28.0,30,0.0,5543.686151504517
gpt4o,run_1,EXP1-Results/angle/angle_image_16.png,41.0,45,0.0,5859.278440475464
gpt4o,run_1,EXP1-Results/angle/angle_image_17.png,46.0,45,0.0,5844.838619232178
gpt4o,run_1,EXP1-Results/angle/angle_image_18.png,25.0,45,0.0,5557.517290115356
gpt4o,run_1,EXP1-Results/angle/angle_image_19.png,54.0,45,0.0,5746.549844741821
gpt4o,run_1,EXP1-Results/angle/angle_image_20.png,3.0,45,0.0,5602.502107620239
gpt4o,run_2,EXP1-Results/angle/angle_image_1.png,61.0,45,0.0,6038.157939910889
gpt4o,run_2,EXP1-Results/angle/angle_image_2.png,39.0,45,0.0,5686.300992965698
gpt4o,run_2,EXP1-Results/angle/angle_image_3.png,30.0,45,0.0,5777.967214584351
gpt4o,run_2,EXP1-Results/angle/angle_image_4.png,83.0,45,0.0,5874.0880489349365
gpt4o,run_2,EXP1-Results/angle/angle_image_5.png,47.0,45,0.0,5827.213764190674
gpt4o,run_2,EXP1-Results/angle/angle_image_6.png,54.0,30,0.0,5858.236074447632
gpt4o,run_2,EXP1-Results/angle/angle_image_7.png,50.0,45,0.0,6272.642612457275
gpt4o,run_2,EXP1-Results/angle/angle_image_8.png,64.0,45,0.0,6184.850692749023
gpt4o,run_2,EXP1-Results/angle/angle_image_9.png,79.0,45,0.0,5630.824089050293
gpt4o,run_2,EXP1-Results/angle/angle_image_10.png,60.0,45,0.0,5824.698686599731
