model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_1.png,23.0,30,0.0,6238.613128662109
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_2.png,23.0,30,0.0,5878.815174102783
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_3.png,36.0,30,0.0,5785.512924194336
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_4.png,31.0,28,0.0,6084.129810333252
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_5.png,38.0,30,0.0,5738.672256469727
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_6.png,30.0,30,0.0,5990.954637527466
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_7.png,22.0,30,0.0,5828.835725784302
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_8.png,31.0,30,0.0,5623.3460903167725
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_9.png,24.0,30,0.0,5899.526834487915
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_10.png,23.0,30,0.0,6013.673782348633
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_11.png,25.0,30,0.0,5921.949148178101
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_12.png,36.0,30,0.0,5869.199752807617
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_13.png,24.0,30,0.0,5581.667423248291
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_14.png,28.0,30,0.0,5870.413541793823
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_15.png,35.0,29,0.0,6041.666269302368
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_16.png,22.0,30,0.0,5662.434816360474
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_17.png,28.0,30,0.0,5608.654975891113
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_18.png,25.0,30,0.0,5969.6996212005615
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_19.png,27.0,30,0.0,5763.556241989136
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_20.png,36.0,30,0.0,5771.885633468628
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_1.png,23.0,30,0.0,5885.608911514282
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_2.png,23.0,30,0.0,5877.147674560547
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_3.png,36.0,30,0.0,5637.735843658447
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_4.png,31.0,30,0.0,5623.127698898315
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_5.png,38.0,30,0.0,5636.698246002197
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_6.png,30.0,30,0.0,5906.573057174683
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_7.png,22.0,29,0.0,5564.552307128906
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_8.png,31.0,30,0.0,5659.772634506226
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_9.png,24.0,29,0.0,7051.959753036499
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_10.png,23.0,30,0.0,5857.887268066406
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_11.png,25.0,30,0.0,5869.466781616211
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_12.png,36.0,30,0.0,5649.963617324829
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_13.png,24.0,30,0.0,5565.980672836304
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_14.png,28.0,30,0.0,6613.194227218628
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_15.png,35.0,30,0.0,6446.173667907715
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_16.png,22.0,30,0.0,5820.156097412109
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_17.png,28.0,30,0.0,5769.398212432861
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_18.png,25.0,29,0.0,5858.798265457153
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_19.png,27.0,30,0.0,5642.545461654663
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_20.png,36.0,30,0.0,5537.113189697266
gpt4o,run_2,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_1.png,23.0,28,0.0,5936.733961105347
gpt4o,run_2,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_2.png,23.0,30,0.0,5850.340843200684
gpt4o,run_2,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_3.png,36.0,30,0.0,5571.039915084839
gpt4o,run_2,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_4.png,31.0,30,0.0,5560.2405071258545
gpt4o,run_2,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_5.png,38.0,30,0.0,5700.1941204071045
gpt4o,run_2,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_6.png,30.0,30,0.0,5827.426195144653
gpt4o,run_2,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_7.png,22.0,29,0.0,5757.464408874512
gpt4o,run_2,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_8.png,31.0,30,0.0,5575.734615325928
