model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP5-Results/100/100_image_1.png,8.0,6,0.0,5797.236442565918
gpt4o,run_0,EXP5-Results/100/100_image_2.png,10.0,9,0.0,5968.349456787109
gpt4o,run_0,EXP5-Results/100/100_image_3.png,5.0,7,0.0,5832.21435546875
gpt4o,run_0,EXP5-Results/100/100_image_4.png,5.0,4,0.0,6069.929599761963
gpt4o,run_0,EXP5-Results/100/100_image_5.png,8.0,6,0.0,5925.849676132202
gpt4o,run_0,EXP5-Results/100/100_image_6.png,9.0,9,0.0,5999.611854553223
gpt4o,run_0,EXP5-Results/100/100_image_7.png,9.0,5,0.0,5937.344312667847
gpt4o,run_0,EXP5-Results/100/100_image_8.png,10.0,8,0.0,5766.43967628479
gpt4o,run_0,EXP5-Results/100/100_image_9.png,1.0,7,0.0,5665.865182876587
gpt4o,run_0,EXP5-Results/100/100_image_10.png,2.0,10,0.0,5988.980293273926
gpt4o,run_0,EXP5-Results/100/100_image_11.png,9.0,5,0.0,5881.41655921936
gpt4o,run_0,EXP5-Results/100/100_image_12.png,4.0,9,0.0,6472.816944122314
gpt4o,run_0,EXP5-Results/100/100_image_13.png,8.0,8,0.0,5924.643278121948
gpt4o,run_0,EXP5-Results/100/100_image_14.png,9.0,6,0.0,7088.105201721191
gpt4o,run_0,EXP5-Results/100/100_image_15.png,1.0,6,0.0,5935.434341430664
gpt4o,run_0,EXP5-Results/100/100_image_16.png,9.0,10,0.0,6350.363969802856
gpt4o,run_0,EXP5-Results/100/100_image_17.png,3.0,5,0.0,6009.058952331543
gpt4o,run_0,EXP5-Results/100/100_image_18.png,7.0,5,0.0,6020.853519439697
gpt4o,run_0,EXP5-Results/100/100_image_19.png,9.0,5,0.0,7176.139116287231
gpt4o,run_0,EXP5-Results/100/100_image_20.png,1.0,5,0.0,5902.28009223938
gpt4o,run_1,EXP5-Results/100/100_image_1.png,8.0,3,0.0,5629.521369934082
gpt4o,run_1,EXP5-Results/100/100_image_2.png,10.0,3,0.0,6287.495374679565
gpt4o,run_1,EXP5-Results/100/100_image_3.png,5.0,9,0.0,5720.874547958374
gpt4o,run_1,EXP5-Results/100/100_image_4.png,5.0,5,0.0,5928.0829429626465
gpt4o,run_1,EXP5-Results/100/100_image_5.png,8.0,7,0.0,6385.061740875244
gpt4o,run_1,EXP5-Results/100/100_image_6.png,9.0,6,0.0,5571.00248336792
gpt4o,run_1,EXP5-Results/100/100_image_7.png,9.0,7,0.0,6278.721332550049
gpt4o,run_1,EXP5-Results/100/100_image_8.png,10.0,5,0.0,5829.6058177948
gpt4o,run_1,EXP5-Results/100/100_image_9.png,1.0,9,0.0,5638.87882232666
gpt4o,run_1,EXP5-Results/100/100_image_10.png,2.0,5,0.0,5904.244422912598
gpt4o,run_1,EXP5-Results/100/100_image_11.png,9.0,7,0.0,5654.793262481689
gpt4o,run_1,EXP5-Results/100/100_image_12.png,4.0,7,0.0,5752.089977264404
gpt4o,run_1,EXP5-Results/100/100_image_13.png,8.0,9,0.0,5844.560146331787
gpt4o,run_1,EXP5-Results/100/100_image_14.png,9.0,7,0.0,5811.188697814941
gpt4o,run_1,EXP5-Results/100/100_image_15.png,1.0,9,0.0,5941.290616989136
gpt4o,run_1,EXP5-Results/100/100_image_16.png,9.0,6,0.0,5844.5634841918945
gpt4o,run_1,EXP5-Results/100/100_image_17.png,3.0,5,0.0,5726.744651794434
gpt4o,run_1,EXP5-Results/100/100_image_18.png,7.0,5,0.0,5983.123064041138
gpt4o,run_1,EXP5-Results/100/100_image_19.png,9.0,5,0.0,5875.594854354858
gpt4o,run_1,EXP5-Results/100/100_image_20.png,1.0,6,0.0,6305.585622787476
gpt4o,run_2,EXP5-Results/100/100_image_1.png,8.0,5,0.0,5654.837846755981
gpt4o,run_2,EXP5-Results/100/100_image_2.png,10.0,8,0.0,5884.286880493164
gpt4o,run_2,EXP5-Results/100/100_image_3.png,5.0,8,0.0,5708.268642425537
gpt4o,run_2,EXP5-Results/100/100_image_4.png,5.0,5,0.0,6087.155103683472
gpt4o,run_2,EXP5-Results/100/100_image_5.png,8.0,4,0.0,5841.769456863403
gpt4o,run_2,EXP5-Results/100/100_image_6.png,9.0,9,0.0,5900.011301040649
gpt4o,run_2,EXP5-Results/100/100_image_7.png,9.0,6,0.0,5883.576393127441
gpt4o,run_2,EXP5-Results/100/100_image_8.png,10.0,4,0.0,5562.178373336792
gpt4o,run_2,EXP5-Results/100/100_image_9.png,1.0,7,0.0,5558.921813964844
gpt4o,run_2,EXP5-Results/100/100_image_10.png,2.0,5,0.0,6277.116775512695
gpt4o,run_2,EXP5-Results/100/100_image_11.png,9.0,7,0.0,5692.10958480835
gpt4o,run_2,EXP5-Results/100/100_image_12.png,4.0,8,0.0,5837.758541107178
gpt4o,run_2,EXP5-Results/100/100_image_13.png,8.0,8,0.0,5829.8139572143555
gpt4o,run_2,EXP5-Results/100/100_image_14.png,9.0,5,0.0,5721.0023403167725
gpt4o,run_2,EXP5-Results/100/100_image_15.png,1.0,5,0.0,5844.17986869812
gpt4o,run_2,EXP5-Results/100/100_image_16.png,9.0,5,0.0,6089.829206466675
gpt4o,run_2,EXP5-Results/100/100_image_17.png,3.0,4,0.0,6032.948970794678
gpt4o,run_2,EXP5-Results/100/100_image_18.png,7.0,5,0.0,5956.696033477783
gpt4o,run_2,EXP5-Results/100/100_image_19.png,9.0,5,0.0,5921.855211257935
gpt4o,run_2,EXP5-Results/100/100_image_20.png,1.0,8,0.0,6193.911790847778
gpt4o,average,,,,,
CustomLLaMA,run_0,EXP5-Results/100/100_image_1.png,8.0,"user
Please estimate how many dots were added to the initial 100 dots. Answer range 1 to 10. Number only. No explanation.
assistant

3",0.0,393.76330375671387
CustomLLaMA,run_0,EXP5-Results/100/100_image_2.png,10.0,"user
Please estimate how many dots were added to the initial 100 dots. Answer range 1 to 10. Number only. No explanation.
assistant

5",0.0,330.2133083343506
CustomLLaMA,run_0,EXP5-Results/100/100_image_3.png,5.0,"user
Please estimate how many dots were added to the initial 100 dots. Answer range 1 to 10. Number only. No explanation.
assistant

2",0.0,334.03468132019043
