model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP1-Results/length/length_image_1.png,29.0,10,0.0,6763.832807540894
gpt4o,run_0,EXP1-Results/length/length_image_2.png,26.0,10,0.0,5919.338941574097
gpt4o,run_0,EXP1-Results/length/length_image_3.png,52.0,20,0.0,6174.22342300415
gpt4o,run_0,EXP1-Results/length/length_image_4.png,38.0,8,0.0,5913.463354110718
gpt4o,run_0,EXP1-Results/length/length_image_5.png,26.0,18,0.0,5805.9797286987305
gpt4o,run_0,EXP1-Results/length/length_image_6.png,44.0,24,0.0,5885.361909866333
gpt4o,run_0,EXP1-Results/length/length_image_7.png,16.0,10,0.0,5885.3440284729
gpt4o,run_0,EXP1-Results/length/length_image_8.png,21.0,12,0.0,6363.812208175659
gpt4o,run_0,EXP1-Results/length/length_image_9.png,25.0,13,0.0,5957.847833633423
gpt4o,run_0,EXP1-Results/length/length_image_10.png,53.0,10,0.0,5731.223583221436
gpt4o,run_0,EXP1-Results/length/length_image_11.png,28.0,12,0.0,6081.137180328369
gpt4o,run_0,EXP1-Results/length/length_image_12.png,18.0,10,0.0,7455.830097198486
gpt4o,run_0,EXP1-Results/length/length_image_13.png,53.0,20,0.0,5900.627374649048
gpt4o,run_0,EXP1-Results/length/length_image_14.png,36.0,15,0.0,5823.9426612854
gpt4o,run_0,EXP1-Results/length/length_image_15.png,8.0,3,0.0,5849.552869796753
gpt4o,run_0,EXP1-Results/length/length_image_16.png,48.0,20,0.0,5973.97255897522
gpt4o,run_0,EXP1-Results/length/length_image_17.png,1.0,10,0.0,5654.000997543335
gpt4o,run_0,EXP1-Results/length/length_image_18.png,18.0,12,0.0,8835.107803344727
gpt4o,run_0,EXP1-Results/length/length_image_19.png,59.0,10,0.0,5926.148176193237
gpt4o,run_0,EXP1-Results/length/length_image_20.png,15.0,10,0.0,5715.916395187378
gpt4o,run_0,EXP1-Results/length/length_image_21.png,8.0,6,0.0,5637.293338775635
gpt4o,run_0,EXP1-Results/length/length_image_22.png,33.0,10,0.0,5958.297967910767
gpt4o,run_0,EXP1-Results/length/length_image_23.png,26.0,10,0.0,6550.562858581543
gpt4o,run_0,EXP1-Results/length/length_image_24.png,60.0,25,0.0,5954.551458358765
gpt4o,run_0,EXP1-Results/length/length_image_25.png,14.0,10,0.0,6396.20566368103
gpt4o,run_0,EXP1-Results/length/length_image_26.png,1.0,5,0.0,5670.470952987671
gpt4o,run_0,EXP1-Results/length/length_image_27.png,38.0,25,0.0,6200.927972793579
gpt4o,run_0,EXP1-Results/length/length_image_28.png,21.0,5,0.0,6075.004577636719
gpt4o,run_0,EXP1-Results/length/length_image_29.png,17.0,10,0.0,5878.262519836426
gpt4o,run_0,EXP1-Results/length/length_image_30.png,45.0,18,0.0,6333.219766616821
gpt4o,run_0,EXP1-Results/length/length_image_31.png,53.0,44,0.0,5630.756139755249
gpt4o,run_0,EXP1-Results/length/length_image_32.png,53.0,15,0.0,5600.026607513428
gpt4o,run_0,EXP1-Results/length/length_image_33.png,39.0,10,0.0,6097.69344329834
gpt4o,run_0,EXP1-Results/length/length_image_34.png,19.0,10,0.0,5757.0061683654785
gpt4o,run_0,EXP1-Results/length/length_image_35.png,39.0,28,0.0,6499.129772186279
gpt4o,run_0,EXP1-Results/length/length_image_36.png,31.0,15,0.0,5810.35590171814
gpt4o,run_0,EXP1-Results/length/length_image_37.png,31.0,10,0.0,6239.240407943726
gpt4o,run_0,EXP1-Results/length/length_image_38.png,44.0,50,0.0,5804.623126983643
gpt4o,run_0,EXP1-Results/length/length_image_39.png,8.0,5,0.0,5702.427625656128
gpt4o,run_0,EXP1-Results/length/length_image_40.png,54.0,20,0.0,6510.061025619507
gpt4o,run_0,EXP1-Results/length/length_image_41.png,14.0,8,0.0,5942.363262176514
gpt4o,run_0,EXP1-Results/length/length_image_42.png,1.0,10,0.0,5718.406677246094
gpt4o,run_0,EXP1-Results/length/length_image_43.png,59.0,30,0.0,5903.917074203491
gpt4o,run_0,EXP1-Results/length/length_image_44.png,40.0,15,0.0,5980.618953704834
gpt4o,run_0,EXP1-Results/length/length_image_45.png,19.0,10,0.0,5674.415349960327
gpt4o,run_0,EXP1-Results/length/length_image_46.png,48.0,20,0.0,5829.6966552734375
gpt4o,run_0,EXP1-Results/length/length_image_47.png,15.0,10,0.0,5638.892412185669
gpt4o,run_0,EXP1-Results/length/length_image_48.png,58.0,23,0.0,6288.644075393677
gpt4o,run_0,EXP1-Results/length/length_image_49.png,24.0,9,0.0,5924.18646812439
gpt4o,run_0,EXP1-Results/length/length_image_50.png,56.0,20,0.0,5956.454515457153
gpt4o,run_0,EXP1-Results/length/length_image_51.png,24.0,10,0.0,6556.129693984985
gpt4o,run_0,EXP1-Results/length/length_image_52.png,8.0,10,0.0,6058.086633682251
gpt4o,run_0,EXP1-Results/length/length_image_53.png,36.0,12,0.0,5695.443630218506
gpt4o,run_0,EXP1-Results/length/length_image_54.png,7.0,10,0.0,5809.68713760376
gpt4o,run_0,EXP1-Results/length/length_image_55.png,15.0,10,0.0,5537.655591964722
gpt4o,run_1,EXP1-Results/length/length_image_1.png,29.0,15,0.0,6120.237827301025
gpt4o,run_1,EXP1-Results/length/length_image_2.png,26.0,15,0.0,6516.212224960327
gpt4o,run_1,EXP1-Results/length/length_image_3.png,52.0,20,0.0,6465.73543548584
gpt4o,run_1,EXP1-Results/length/length_image_4.png,38.0,15,0.0,5792.280673980713
gpt4o,run_1,EXP1-Results/length/length_image_5.png,26.0,10,0.0,6510.972261428833
gpt4o,run_1,EXP1-Results/length/length_image_6.png,44.0,15,0.0,6205.5418491363525
gpt4o,run_1,EXP1-Results/length/length_image_7.png,16.0,12,0.0,5948.067188262939
gpt4o,run_1,EXP1-Results/length/length_image_8.png,21.0,10,0.0,5802.491664886475
gpt4o,run_1,EXP1-Results/length/length_image_9.png,25.0,16,0.0,6045.171737670898
gpt4o,run_1,EXP1-Results/length/length_image_10.png,53.0,31,0.0,5714.590072631836
gpt4o,run_1,EXP1-Results/length/length_image_11.png,28.0,15,0.0,5754.053115844727
gpt4o,run_1,EXP1-Results/length/length_image_12.png,18.0,10,0.0,6925.060272216797
gpt4o,run_1,EXP1-Results/length/length_image_13.png,53.0,20,0.0,5628.51357460022
gpt4o,run_1,EXP1-Results/length/length_image_14.png,36.0,12,0.0,5679.527997970581
gpt4o,run_1,EXP1-Results/length/length_image_15.png,8.0,5,0.0,7826.768398284912
gpt4o,run_1,EXP1-Results/length/length_image_16.png,48.0,20,0.0,6074.724912643433
gpt4o,run_1,EXP1-Results/length/length_image_17.png,1.0,10,0.0,5979.630470275879
gpt4o,run_1,EXP1-Results/length/length_image_18.png,18.0,10,0.0,7688.0738735198975
gpt4o,run_1,EXP1-Results/length/length_image_19.png,59.0,35,0.0,5831.733703613281
gpt4o,run_1,EXP1-Results/length/length_image_20.png,15.0,14,0.0,7360.09407043457
gpt4o,run_1,EXP1-Results/length/length_image_21.png,8.0,10,0.0,5852.132558822632
gpt4o,run_1,EXP1-Results/length/length_image_22.png,33.0,10,0.0,5997.966289520264
gpt4o,run_1,EXP1-Results/length/length_image_23.png,26.0,10,0.0,5806.663036346436
gpt4o,run_1,EXP1-Results/length/length_image_24.png,60.0,24,0.0,5742.492198944092
gpt4o,run_1,EXP1-Results/length/length_image_25.png,14.0,15,0.0,5816.429615020752
