model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP1-Results/area/area_image_1.png,1809.5573684677208,7850,0.0,6060.243844985962
gpt4o,run_0,EXP1-Results/area/area_image_2.png,2290.221044466959,7853.98,0.0,5731.476783752441
gpt4o,run_0,EXP1-Results/area/area_image_3.png,3.141592653589793,7853.98,0.0,5570.005178451538
gpt4o,run_0,EXP1-Results/area/area_image_4.png,12.566370614359172,1963.5,0.0,6308.195114135742
gpt4o,run_0,EXP1-Results/area/area_image_5.png,1385.442360233099,7850.,0.0,6300.008296966553
gpt4o,run_0,EXP1-Results/area/area_image_6.png,254.46900494077323,78.54,0.0,5823.889255523682
gpt4o,run_0,EXP1-Results/area/area_image_7.png,12.566370614359172,78.5,0.0,6099.172592163086
gpt4o,run_0,EXP1-Results/area/area_image_8.png,2642.079421669016,7850,0.0,5851.795434951782
gpt4o,run_0,EXP1-Results/area/area_image_9.png,4300.840342764427,7853.98,0.0,5807.520389556885
gpt4o,run_0,EXP1-Results/area/area_image_10.png,2290.221044466959,7850.,0.0,5850.1482009887695
gpt4o,run_0,EXP1-Results/area/area_image_11.png,3631.6811075498013,7850.,0.0,5805.648326873779
gpt4o,run_0,EXP1-Results/area/area_image_12.png,4300.840342764427,7850.,0.0,5693.886041641235
gpt4o,run_0,EXP1-Results/area/area_image_13.png,78.53981633974483,314.16,0.0,6705.300807952881
gpt4o,run_0,EXP1-Results/area/area_image_14.png,3216.990877275948,314.16,0.0,6259.371042251587
gpt4o,run_0,EXP1-Results/area/area_image_15.png,2463.0086404143976,7850,0.0,5952.0299434661865
gpt4o,run_0,EXP1-Results/area/area_image_16.png,804.247719318987,7850.,0.0,5930.616855621338
gpt4o,run_0,EXP1-Results/area/area_image_17.png,530.929158456675,314.16,0.0,6305.314064025879
gpt4o,run_0,EXP1-Results/area/area_image_18.png,201.06192982974676,49.48,0.0,5821.946620941162
gpt4o,run_0,EXP1-Results/area/area_image_19.png,201.06192982974676,78.5,0.0,6004.758834838867
gpt4o,run_0,EXP1-Results/area/area_image_20.png,4536.459791783661,7853.98,0.0,6052.529335021973
gpt4o,run_0,EXP1-Results/area/area_image_21.png,3019.0705400997913,7853.98,0.0,9235.92495918274
gpt4o,run_0,EXP1-Results/area/area_image_22.png,615.7521601035994,314.16,0.0,5825.01220703125
gpt4o,run_0,EXP1-Results/area/area_image_23.png,12.566370614359172,7850.,0.0,6094.500303268433
gpt4o,run_0,EXP1-Results/area/area_image_24.png,1256.6370614359173,7854,0.0,5887.121200561523
gpt4o,run_0,EXP1-Results/area/area_image_25.png,12.566370614359172,3.14,0.0,6026.565790176392
gpt4o,run_0,EXP1-Results/area/area_image_26.png,2123.7166338267,7853.98,0.0,5709.330081939697
gpt4o,run_0,EXP1-Results/area/area_image_27.png,3.141592653589793,7853.98,0.0,5641.284704208374
gpt4o,run_0,EXP1-Results/area/area_image_28.png,1017.8760197630929,7850.4,0.0,5952.911376953125
gpt4o,run_0,EXP1-Results/area/area_image_29.png,4300.840342764427,7853.98,0.0,5663.962841033936
gpt4o,run_0,EXP1-Results/area/area_image_30.png,50.26548245743669,78.54,0.0,5998.337507247925
gpt4o,run_0,EXP1-Results/area/area_image_31.png,314.1592653589793,314.16,0.0,6264.504432678223
gpt4o,run_0,EXP1-Results/area/area_image_32.png,4778.362426110075,7853.98,0.0,5687.42823600769
gpt4o,run_0,EXP1-Results/area/area_image_33.png,3848.4510006474966,7853.98,0.0,6063.90380859375
gpt4o,run_0,EXP1-Results/area/area_image_34.png,1256.6370614359173,7850.,0.0,6777.080535888672
gpt4o,run_0,EXP1-Results/area/area_image_35.png,5026.548245743669,7853.98,0.0,6009.213447570801
gpt4o,run_0,EXP1-Results/area/area_image_36.png,706.8583470577034,314.16,0.0,6073.884725570679
gpt4o,run_0,EXP1-Results/area/area_image_37.png,2290.221044466959,7850,0.0,5596.836090087891
gpt4o,run_0,EXP1-Results/area/area_image_38.png,3019.0705400997913,7853.98,0.0,5926.784992218018
gpt4o,run_0,EXP1-Results/area/area_image_39.png,4778.362426110075,7850.,0.0,5797.983169555664
gpt4o,run_0,EXP1-Results/area/area_image_40.png,314.1592653589793,314.16,0.0,5968.026638031006
gpt4o,run_0,EXP1-Results/area/area_image_41.png,380.1327110843649,78.54,0.0,5883.439779281616
gpt4o,run_0,EXP1-Results/area/area_image_42.png,2827.4333882308138,7853.98,0.0,5926.097393035889
gpt4o,run_0,EXP1-Results/area/area_image_43.png,452.3893421169302,7853.98,0.0,5918.780565261841
gpt4o,run_0,EXP1-Results/area/area_image_44.png,4778.362426110075,7853.98,0.0,5702.796697616577
gpt4o,run_0,EXP1-Results/area/area_image_45.png,201.06192982974676,314.16,0.0,6202.933549880981
gpt4o,run_0,EXP1-Results/area/area_image_46.png,254.46900494077323,314.5,0.0,5837.276458740234
gpt4o,run_0,EXP1-Results/area/area_image_47.png,4071.5040790523717,7853.98,0.0,6364.947319030762
gpt4o,run_0,EXP1-Results/area/area_image_48.png,380.1327110843649,314.16,0.0,5706.861734390259
gpt4o,run_0,EXP1-Results/area/area_image_49.png,28.274333882308138,7853.98,0.0,6062.50786781311
gpt4o,run_0,EXP1-Results/area/area_image_50.png,1809.5573684677208,7850,0.0,5830.004930496216
gpt4o,run_0,EXP1-Results/area/area_image_51.png,12.566370614359172,314.16,0.0,6266.4806842803955
gpt4o,run_0,EXP1-Results/area/area_image_52.png,706.8583470577034,314.16,0.0,6145.74408531189
gpt4o,run_0,EXP1-Results/area/area_image_53.png,530.929158456675,7850.34,0.0,5937.99614906311
gpt4o,run_0,EXP1-Results/area/area_image_54.png,1963.4954084936207,7850.,0.0,5868.536472320557
gpt4o,run_0,EXP1-Results/area/area_image_55.png,4071.5040790523717,7853.98,0.0,6576.243877410889
gpt4o,run_1,EXP1-Results/area/area_image_1.png,1809.5573684677208,7853.98,0.0,5876.197814941406
gpt4o,run_1,EXP1-Results/area/area_image_2.png,2290.221044466959,7853.98,0.0,6889.326095581055
gpt4o,run_1,EXP1-Results/area/area_image_3.png,3.141592653589793,7853.98,0.0,6953.011512756348
gpt4o,run_1,EXP1-Results/area/area_image_4.png,12.566370614359172,314.16,0.0,6011.188745498657
gpt4o,run_1,EXP1-Results/area/area_image_5.png,1385.442360233099,7850,0.0,7234.789609909058
gpt4o,run_1,EXP1-Results/area/area_image_6.png,254.46900494077323,7850,0.0,5788.573980331421
gpt4o,run_1,EXP1-Results/area/area_image_7.png,12.566370614359172,314.16,0.0,6085.866451263428
gpt4o,run_1,EXP1-Results/area/area_image_8.png,2642.079421669016,7853.98,0.0,6035.592079162598
gpt4o,run_1,EXP1-Results/area/area_image_9.png,4300.840342764427,7853.98,0.0,5907.214164733887
gpt4o,run_1,EXP1-Results/area/area_image_10.png,2290.221044466959,7853.98,0.0,5865.189790725708
gpt4o,run_1,EXP1-Results/area/area_image_11.png,3631.6811075498013,7853.98,0.0,5760.125398635864
gpt4o,run_1,EXP1-Results/area/area_image_12.png,4300.840342764427,7853.98,0.0,5886.9428634643555
gpt4o,run_1,EXP1-Results/area/area_image_13.png,78.53981633974483,314.16,0.0,6177.463531494141
gpt4o,run_1,EXP1-Results/area/area_image_14.png,3216.990877275948,7853.98,0.0,6018.789052963257
gpt4o,run_1,EXP1-Results/area/area_image_15.png,2463.0086404143976,7853.98,0.0,5935.443162918091
gpt4o,run_1,EXP1-Results/area/area_image_16.png,804.247719318987,314.16,0.0,7308.252811431885
gpt4o,run_1,EXP1-Results/area/area_image_17.png,530.929158456675,7850.46,0.0,6095.067739486694
gpt4o,run_1,EXP1-Results/area/area_image_18.png,201.06192982974676,7850,0.0,5620.254755020142
gpt4o,run_1,EXP1-Results/area/area_image_19.png,201.06192982974676,78.54,0.0,6571.908712387085
gpt4o,run_1,EXP1-Results/area/area_image_20.png,4536.459791783661,7853.98,0.0,6154.2346477508545
gpt4o,run_1,EXP1-Results/area/area_image_21.png,3019.0705400997913,7850.,0.0,5641.433477401733
gpt4o,run_1,EXP1-Results/area/area_image_22.png,615.7521601035994,7850,0.0,6760.852813720703
gpt4o,run_1,EXP1-Results/area/area_image_23.png,12.566370614359172,314.16,0.0,6253.0083656311035
gpt4o,run_1,EXP1-Results/area/area_image_24.png,1256.6370614359173,7850.,0.0,6045.387744903564
gpt4o,run_1,EXP1-Results/area/area_image_25.png,12.566370614359172,314.16,0.0,5921.512842178345
gpt4o,run_1,EXP1-Results/area/area_image_26.png,2123.7166338267,7850.,0.0,6078.6542892456055
