model_name,run,image_path,ground_truth,raw_answers,forced_repetitions,time_ms
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_1.png,38.0,30,0.0,7303.076505661011
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_2.png,22.0,30,0.0,6240.1838302612305
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_3.png,27.0,31,0.0,6892.545461654663
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_4.png,22.0,30,0.0,5728.98006439209
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_5.png,37.0,31,0.0,5927.059888839722
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_6.png,26.0,30,0.0,5812.127590179443
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_7.png,24.0,31,0.0,5901.656627655029
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_8.png,31.0,31,0.0,5848.221778869629
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_9.png,26.0,30,0.0,5852.863550186157
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_10.png,26.0,30,0.0,5627.089738845825
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_11.png,21.0,31,0.0,6003.768444061279
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_12.png,33.0,31,0.0,5871.706485748291
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_13.png,36.0,31,0.0,6330.686092376709
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_14.png,29.0,30,0.0,6215.437173843384
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_15.png,36.0,30,0.0,6447.300910949707
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_16.png,37.0,31,0.0,5853.464603424072
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_17.png,36.0,31,0.0,5882.286310195923
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_18.png,24.0,31,0.0,6186.867952346802
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_19.png,27.0,29,0.0,6271.778583526611
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_20.png,25.0,31,0.0,6003.247261047363
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_21.png,31.0,31,0.0,5720.942497253418
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_22.png,26.0,31,0.0,5645.08318901062
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_23.png,37.0,31,0.0,5875.581979751587
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_24.png,35.0,31,0.0,5877.35652923584
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_25.png,36.0,30,0.0,5838.20652961731
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_26.png,34.0,30,0.0,6120.712757110596
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_27.png,34.0,31,0.0,6163.902521133423
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_28.png,31.0,30,0.0,5637.142896652222
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_29.png,32.0,30,0.0,5820.845603942871
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_30.png,25.0,30,0.0,5981.436967849731
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_31.png,40.0,31,0.0,5832.396745681763
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_32.png,30.0,31,0.0,6882.7691078186035
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_33.png,39.0,31,0.0,6316.683530807495
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_34.png,27.0,30,0.0,6128.287553787231
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_35.png,24.0,30,0.0,7108.656167984009
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_36.png,33.0,30,0.0,5787.132263183594
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_37.png,31.0,31,0.0,5737.8668785095215
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_38.png,22.0,30,0.0,5646.517038345337
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_39.png,40.0,31,0.0,5975.295782089233
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_40.png,40.0,31,0.0,5957.242965698242
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_41.png,26.0,31,0.0,6043.756723403931
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_42.png,25.0,30,0.0,6054.029703140259
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_43.png,24.0,31,0.0,6259.02795791626
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_44.png,31.0,31,0.0,6152.440547943115
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_45.png,26.0,30,0.0,5637.099981307983
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_46.png,28.0,31,0.0,5999.467372894287
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_47.png,33.0,30,0.0,6379.143714904785
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_48.png,29.0,30,0.0,5801.761150360107
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_49.png,39.0,30,0.0,7478.678941726685
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_50.png,37.0,32,0.0,5857.6390743255615
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_51.png,32.0,31,0.0,5786.374568939209
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_52.png,31.0,31,0.0,5828.0394077301025
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_53.png,36.0,31,0.0,5883.155584335327
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_54.png,21.0,31,0.0,6426.969289779663
gpt4o,run_0,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_55.png,22.0,31,0.0,5689.272403717041
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_1.png,38.0,31,0.0,7316.796779632568
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_2.png,22.0,31,0.0,5759.226560592651
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_3.png,27.0,31,0.0,6163.174390792847
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_4.png,22.0,30,0.0,5622.132062911987
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_5.png,37.0,30,0.0,5774.110317230225
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_6.png,26.0,30,0.0,6161.807060241699
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_7.png,24.0,31,0.0,5958.517074584961
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_8.png,31.0,31,0.0,5775.791883468628
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_9.png,26.0,31,0.0,5672.568321228027
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_10.png,26.0,31,0.0,5664.589643478394
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_11.png,21.0,31,0.0,5956.381320953369
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_12.png,33.0,31,0.0,5922.755002975464
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_13.png,36.0,30,0.0,6336.627960205078
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_14.png,29.0,31,0.0,5728.891134262085
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_15.png,36.0,31,0.0,6340.368986129761
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_16.png,37.0,31,0.0,5906.0218334198
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_17.png,36.0,30,0.0,5787.154912948608
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_18.png,24.0,30,0.0,6486.379861831665
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_19.png,27.0,31,0.0,6278.557538986206
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_20.png,25.0,31,0.0,6002.370834350586
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_21.png,31.0,31,0.0,5853.379249572754
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_22.png,26.0,The vertical position of the block is approximately 31.,0.0,5788.871288299561
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_23.png,37.0,31,0.0,6259.958028793335
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_24.png,35.0,31,0.0,6259.519815444946
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_25.png,36.0,31,0.0,5890.261173248291
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_26.png,34.0,30,0.0,5829.228162765503
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_27.png,34.0,31,0.0,5831.076383590698
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_28.png,31.0,31,0.0,5716.598033905029
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_29.png,32.0,31,0.0,5807.5737953186035
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_30.png,25.0,31,0.0,5931.177854537964
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_31.png,40.0,31,0.0,5715.779066085815
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_32.png,30.0,31,0.0,5885.81919670105
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_33.png,39.0,31,0.0,5840.793609619141
gpt4o,run_1,EXP1-Results/position_non_aligned_scale/position_non_aligned_scale_image_34.png,27.0,30,0.0,6250.546216964722
